"year","measured_catch","catch","eff","cpue","qty_t","new.effort"
1990,53160.8037501149,45378.191289856,88667129.0920999,0.000511781443185343,53425.955,104392130.100449
1991,54983.0611247632,46896.1397811086,92581129.2971376,0.000506541021233347,45725.692,90270461.9828523
1992,45899.8586158094,38718.9656522635,83881583.7426201,0.000461590779819652,47968.443,103919846.533204
1993,48119.2516008313,40476.3228927207,91590321.7513228,0.000441927947394029,49583.509,112198174.594717
1994,48427.5173176952,41180.855332277,96755789.7230756,0.000425616445797617,54244,127448082.741129
1995,50349.7169729135,41288.9220135622,103998090.888945,0.000397016153475863,52019,131024895.447139
1996,49624.6593987574,41085.1017718269,106924589.255822,0.000384243718472737,48632,126565504.29321
1997,46581.5004126679,38724.6698180132,100739954.595564,0.000384402295727444,38249,99502527.4956214
1998,45583.0408224861,35505.9950362974,103195202.100079,0.000344066335582767,38132,110827465.684527
1999,41400.4128698201,31928.1561727175,94055290.6230931,0.00033946156522617,32039,94381818.9804601
2000,41897.3313888807,32238.7137686571,92978528.8709882,0.000346732887260345,34299,98920527.1845082
2001,39498.1258839357,29840.3889419038,85870402.1594902,0.000347504939903276,25577,73601831.4074012
2002,31529.4530377438,23907.6151833268,71121723.2580036,0.000336150673635939,21769.867,64762229.2840543
2003,33352.5464821515,25627.7078303386,83290556.0851679,0.000307690439767665,26587.462,86409776.0725879
2004,33956.3886318124,26425.1859323798,81133891.8641516,0.000325698488328717,29306.988,89981958.9289017
2005,35877.1571204465,27565.5857331573,86649634.2176494,0.000318126971706737,23332.064,73341986.2981894
2006,32380.9459463172,25308.4225380155,77814454.7241452,0.000325240633346782,24342.424,74844350.6259112
2007,26360.1790803945,21671.9373450456,67975229.870664,0.000318821096836018,30531.267,95763007.2256586
2008,32246.6182277042,24637.051390839,79043703.9186848,0.000311688979253604,28843.971,92540875.423546
2009,29657.6578035611,23719.7358718098,71464128.6642262,0.000331911076440277,25670.814,77342444.4743382
2010,26429.3819273806,20691.9333358024,62754482.2969037,0.000329728372834068,1743.121,5286536.26322053
