"year","measured_catch","catch","eff","cpue","qty_t","raised.effort"
1970,48967.2679323403,42846.3559122165,38214871.6673472,0.00112119586021865,32797.161,29251946.2153599
1971,58863.9861015021,51388.9456698402,52056050.6678125,0.000987184871126138,46350.009,46951701.1004493
1972,39229.3573697798,33699.9792915576,43159062.9311419,0.000780832043210118,31345.53,40143754.6942026
1973,29902.1939682482,25491.1395148207,37979940.2671767,0.000671173765295542,28420.689,42344755.5157126
1974,25251.1571912394,20883.3253705421,34138184.5338801,0.000611729230938355,31730.275,51869803.4934961
1975,34874.167613554,29323.5944296266,49615699.7663244,0.000591014428250176,32027.876,54191360.5981251
1976,26797.9505604062,21946.4485480012,41660168.3770304,0.000526796923847805,19122.027,36298668.6792508
1977,23537.4546061569,19541.1723861238,41505380.5609267,0.000470810582195213,18353.291,38982324.7269114
1978,22589.2877183746,18788.757233221,39073942.7213517,0.000480851327627964,17177.258,35722596.5970298
1979,25559.3908667345,21495.5555455044,46074200.5811426,0.000466542127142238,21044.487,45107367.1072453
1980,32531.8330884121,27941.8851706628,53804379.784237,0.000519323617941767,33126.942,63788629.7782717
1981,40878.0106733683,34974.850000079,65495526.0668719,0.000534003650331309,35911.122,67248832.4334859
1982,43583.1493900143,37652.5922737811,65648287.074544,0.000573550262340073,49529.773,86356464.7288619
1983,32466.8403545645,28151.9043503855,47374654.5552816,0.000594239781052862,24815.587,41760225.0661042
1984,36847.0772113824,31932.4467507822,52448432.4217631,0.000608835102906374,37311.249,61283012.1356155
1985,49782.1558546223,43594.2771662231,70232541.6160574,0.000620713363963693,46704.866,75243854.4286471
1986,41605.8112072461,36551.7266973819,58498314.0767464,0.000624833848193097,33134.106,53028666.8941154
1987,33586.200200409,29573.1724628453,50155917.4498472,0.000589624793373916,28276.786,47957254.0330203
1988,44638.7118122219,39948.7559189796,72272066.5241452,0.000552755135424739,47124.206,85253311.9638764
1989,53262.3346515272,47413.2408446721,87655496.8498363,0.000540904364798665,56238.863,103971915.665597
1990,49607.7104229531,44074.9494164537,85426291.763058,0.000515941269447839,53425.955,103550458.479851
1991,52991.3994098327,46648.5029618013,91213949.7093383,0.000511418517786491,45725.692,89409535.2626432
1992,44550.3445868518,38419.5265151818,82479413.2238758,0.000465807466535907,47968.443,102979120.01439
1993,46043.3898569633,40627.8796019737,91059716.9460135,0.000446167426877252,49583.509,111132068.396471
1994,46595.4950235587,41020.8816107533,96954088.2906382,0.000423095945039321,54244,128207326.57922
1995,47163.9830781461,40970.9878191105,102805766.917521,0.000398528108369452,52019,130527806.96657
1996,47863.696496875,41004.8690862478,105475374.874972,0.000388762487309041,48632,125094374.039594
1997,45833.0610974972,38944.8521335118,99375834.8831266,0.000391894590664962,38249,97600224.4253985
1998,44499.3091813339,36517.5731814986,103006323.20387,0.000354517781488261,38132,107560190.182626
1999,40010.8027405642,32690.3796870919,93881256.8295055,0.000348209864152754,32039,92010604.2313178
2000,42628.913678366,33961.544470187,95503261.7113535,0.000355606121315851,34299,96452220.4316485
2001,39842.2811949525,31932.5480702413,88306654.6555366,0.000361609758571453,25577,70730945.1521509
2002,32386.2398277355,26147.7903021056,73656617.5332112,0.000354995805914054,21769.867,61324293.5193171
2003,33942.6846371271,26927.9526400976,84159672.365539,0.000319962660062871,26587.462,83095514.9415738
2004,34225.975356414,27341.4137405439,81200670.2299205,0.000336714138727259,29306.988,87038186.4889221
2005,35614.9928746265,28263.5256380682,84776124.7360074,0.000333390158208821,23332.064,69984261.4591695
2006,30757.9030635956,25372.3436937292,75589395.6639803,0.000335660094525925,24342.424,72521054.4744094
2007,26216.9085910327,21643.2763010539,65452851.5890935,0.000330669722946958,30531.267,92331607.284461
2008,29774.1401170352,24476.8299858739,76765475.9829068,0.000318852057809478,28843.971,90461925.1892518
2009,29492.413454125,24524.4005615823,72428477.193724,0.000338601631730942,25670.814,75814206.4135071
