"year","trend","month","region","flagname","fleetcode","geargrpcode","longitude","latitude","eff1","eff1type","dsettype","catchunit","species","measured_catch","total_catch_kgs","depth_m","m_ann_sst","m_ann_chla","ldepth_m","bin"
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-2.5,84000,"NO.HOOKS","-w","kg","alb",0,60000,-2371,19.12,0.28,7.77106708606541,0
1999,589,1,"AT","China P.R.","CHN","LL",-22.5,-2.5,168000,"NO.HOOKS","-w","kg","alb",0,60000,-5484,19.89,0.15,8.60959004068221,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","alb",0,60000,-2833,19.63,0.09,7.94909149983052,0
1999,589,1,"AT","China P.R.","CHN","LL",-17.5,-7.5,86000,"NO.HOOKS","-w","kg","alb",0,60000,-4297,19.78,0.08,8.365672383775,0
1999,589,1,"AT","China P.R.","CHN","LL",-7.5,2.5,5e+05,"NO.HOOKS","-w","kg","alb",2600,60000,-4999,20.48,0.12,8.51699317141357,1
1999,589,1,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","alb",0,60000,-3506,20.73,0.12,8.16223106548118,0
1999,589,1,"AT","China P.R.","CHN","LL",-32.5,2.5,170000,"NO.HOOKS","-w","kg","alb",0,60000,-3574,20.81,0.12,8.18144069571937,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-2.5,84000,"NO.HOOKS","-w","kg","bft",0,103000,-2371,19.12,0.28,7.77106708606541,0
1999,589,1,"AT","China P.R.","CHN","LL",-22.5,-2.5,168000,"NO.HOOKS","-w","kg","bft",0,103000,-5484,19.89,0.15,8.60959004068221,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","bft",0,103000,-2833,19.63,0.09,7.94909149983052,0
1999,589,1,"AT","China P.R.","CHN","LL",-17.5,-7.5,86000,"NO.HOOKS","-w","kg","bft",0,103000,-4297,19.78,0.08,8.365672383775,0
1999,589,1,"AT","China P.R.","CHN","LL",-7.5,2.5,5e+05,"NO.HOOKS","-w","kg","bft",0,103000,-4999,20.48,0.12,8.51699317141357,0
1999,589,1,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","bft",0,103000,-3506,20.73,0.12,8.16223106548118,0
1999,589,1,"AT","China P.R.","CHN","LL",-32.5,2.5,170000,"NO.HOOKS","-w","kg","bft",0,103000,-3574,20.81,0.12,8.18144069571937,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-2.5,84000,"NO.HOOKS","-w","kg","bet",23700,7347000,-2371,19.12,0.28,7.77106708606541,1
