"year","species","region","flagname","fleetcode","catchunit","eff1type","measured_catch","eff1","geargrp","datatype","total_catch_kgs"
"1",1950,"alb","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"2",1950,"alb","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"3",1950,"alb","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"4",1950,"bft","AT","EU.España","EU.ESP","nr","NO.TRAPS",52928,4,"TP","C",6764000
"5",1950,"bft","AT","EU.España","EU.ESP","kg","NO.TRAPS",6725000,4,"TP","C",6764000
"6",1950,"bft","MD","Other","YUG","kg","NO.BOATS",657000,14,"PS","C",657000
"7",1950,"bet","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"8",1950,"bet","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"9",1950,"bet","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"10",1950,"skj","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"11",1950,"skj","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"12",1950,"skj","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"13",1950,"yft","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"14",1950,"yft","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"15",1950,"yft","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"16",1950,"swo","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"17",1950,"swo","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"18",1950,"swo","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"19",1950,"bum","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"20",1950,"bum","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"21",1950,"bum","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"22",1950,"sai","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"23",1950,"sai","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"24",1950,"sai","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"25",1950,"whm","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"26",1950,"whm","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"27",1950,"whm","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"28",1951,"alb","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"29",1951,"alb","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"30",1951,"alb","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"31",1951,"bft","AT","EU.España","EU.ESP","nr","NO.TRAPS",28654,4,"TP","C",4508000
"32",1951,"bft","AT","EU.España","EU.ESP","kg","NO.TRAPS",3072000,4,"TP","C",4508000
"33",1951,"bft","MD","Other","YUG","kg","NO.BOATS",531000,14,"PS","C",531000
"34",1951,"bet","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"35",1951,"bet","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"36",1951,"bet","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
"37",1951,"skj","AT","EU.España","EU.ESP","kg","NO.TRAPS",0,4,NA,NA,NA
"38",1951,"skj","AT","EU.España","EU.ESP","nr","NO.TRAPS",0,4,NA,NA,NA
"39",1951,"skj","MD","Other","YUG","kg","NO.BOATS",0,14,NA,NA,NA
